SET_ISBN_THIRTEEN_NO,SGVL_ISBN_NO,VLM_NM,TITLE_NM,ISBN_ORGT_NO
"9788982759529","9788982751158","16","국역역대사선","9788982751158 (16)"
"9788982759529","9788982751165","17","국역역대사선","9788982751165 (17)"
"9791127830670","9791127862329","16","곰곰곰베어","9791127862329 (16)"
"9791125658474","9791134885113","27","불꽃소방대","9791134885113 (27)"
"9791127840228","9791127860806","12","살육의천사","9791127860806 (12)"
"9791189126544","9791136731883","17","콜레트는죽기로했다","9791136731883 (17)"
"9791189126544","9791136735522","18","콜레트는죽기로했다","9791136735522 (18)"
"9791133431304","9791136278142","5","하츠하루","9791136278142 (5)"
"9791133424559","9791136278982","13","변녀","9791136278982 (13)"
"9791133424559","9791136280305","14","변녀","9791136280305 (14)"
"9791133434961","9791136274977","13","커피바닐라","9791136274977 (13)"
"9791133434961","9791136281609","14","커피바닐라","9791136281609 (14)"
"9791133437405","9791136273413","16","왕실교사하이네","9791136273413 (16)"
"9791131955703","9791138005388","10","코믹유녀전기","9791138005388 (10)"
"9791133433605","9791136275042","10","청루오페라","9791136275042 (10)"
"9791125659648","9791134882815","11","노건즈라이프","9791134882815 (11)"
"9791133424832","9791136278265","5","빠져드는한숨에달콤한키스","9791136278265 (5)"
"9788925876160","9791134887285","19","파괴수","9791134887285 (19)"
"9791163111757","9791136736178","15","드래곤볼슈퍼","9791136736178 (15)"
"9791195794782","9791188874385","11","설민석의한국사대모험","9791188874385 (11)"
"9791195794782","9791188874460","12","설민석의한국사대모험","9791188874460 (12)"
"9791195794782","9791165382650","13","설민석의한국사대모험","9791165382650 (13)"
"9791195794782","9791165382674","14","설민석의한국사대모험","9791165382674 (14)"
"9791195794782","9791165382704","15","설민석의한국사대모험","9791165382704 (15)"
"9791195794782","9791165382841","16","설민석의한국사대모험","9791165382841 (16)"
"9791195794782","9791165382940","17","설민석의한국사대모험","9791165382940 (17)"
"9791133437986","9791136275165","10","녹풍당의사계절","9791136275165 (10)"
"9791133437498","9791136279200","9","데미는이야기하고싶어","9791136279200 (9)"
"9791133419579","9791136279217","7","고양이와할아버지","9791136279217 (7)"
"9791133422265","9791136281470","7","마치다군의세계","9791136281470 (7)"
"9788952814562","9788952837738","17","에프","8952837738(17)"
"9788989600091","9788989600404","6","소년검객","8989600405(6)"
"9791163113775","9791136741301","17","유루유리","9791136741301 (17)"
"9788968226854","9791136275325","7","걷고있어","9791136275325 (7)"
"9788998391355","9788998391454","3","화도월해","9788998391454 (3)"
"9788998391355","9788998391461","4","화도월해","9788998391461 (4)"
"9791157101191","9791138403078","3","세븐스홀의마녀","9791138403078 (3)"
"9791133440238","9791136276025","11","이세계주점노부","9791136276025 (11)"
"9791127841287","9791127861919","12","변변찮은마술강사와금기교전","9791127861919 (12)"
